03N,small_airport,Utirik Airport,11.222,169.852005,OC,MH
AGGH,large_airport,Honiara International Airport,-9.428,160.054993,OC,SB
AYMO,large_airport,Momote Airport,-2.06189,147.423996,OC,PG
AYPY,large_airport,Port Moresby Jacksons International Airport,-9.443380356,147.2200012,OC,PG
BIKF,large_airport,Keflavik International Airport,63.985001,-22.6056,EU,IS
CYEG,large_airport,Edmonton International Airport,53.30970001,-113.5800018,NA,CA
CYHZ,large_airport,Halifax / Stanfield International Airport,44.88079834,-63.50859833,NA,CA
CYOW,large_airport,Ottawa Macdonald-Cartier International Airport,45.32249832,-75.66919708,NA,CA
CYQB,large_airport,Quebec Jean Lesage International Airport,46.7911,-71.393303,NA,CA
CYUL,large_airport,Montreal / Pierre Elliott Trudeau International Airport,45.47060013,-73.74079895,NA,CA
CYVR,large_airport,Vancouver International Airport,49.19390106,-123.1839981,NA,CA
CYWG,large_airport,Winnipeg / James Armstrong Richardson International Airport,49.90999985,-97.23989868,NA,CA
CYXX,large_airport,Abbotsford International Airport,49.025299,-122.361,NA,CA
CYYC,large_airport,Calgary International Airport,51.11389923,-114.0199966,NA,CA
CYYJ,large_airport,Victoria International Airport,48.6469,-123.426003,NA,CA
CYYT,large_airport,St. John's International Airport,47.61859894,-52.75189972,NA,CA
CYYZ,large_airport,Lester B. Pearson International Airport,43.67720032,-79.63059998,NA,CA
DAAG,large_airport,Houari Boumediene Airport,36.691002,3.21541,AF,DZ
DGAA,large_airport,Kotoka International Airport,5.6051898,-0.166786,AF,GH
DNAA,large_airport,Nnamdi Azikiwe International Airport,9.006790161,7.263169765,AF,NG
DNMM,large_airport,Murtala Muhammed International Airport,6.577370167,3.321160078,AF,NG
DRRN,large_airport,Diori Hamani International Airport,13.4815,2.18361,AF,NE
DTTA,large_airport,Tunis Carthage International Airport,36.85100174,10.22719955,AF,TN
EBBR,large_airport,Brussels Airport,50.90140152,4.48443985,EU,BE
EDDB,large_airport,Berlin Brandenburg Airport,52.362247,13.500672,EU,DE
EDDF,large_airport,Frankfurt am Main Airport,50.036249,8.559294,EU,DE
EDDH,large_airport,Hamburg Helmut Schmidt Airport,53.630402,9.98823,EU,DE
EDDK,large_airport,Cologne Bonn Airport,50.86589813,7.142739773,EU,DE
EDDL,large_airport,Dusseldorf Airport,51.289501,6.76678,EU,DE
EDDM,large_airport,Munich Airport,48.353802,11.7861,EU,DE
EDDN,large_airport,Nuremberg Airport,49.498699,11.078056,EU,DE
EDDP,large_airport,Leipzig/Halle Airport,51.423889,12.236389,EU,DE
EDDS,large_airport,Stuttgart Airport,48.68989944,9.221960068,EU,DE
EDDV,large_airport,Hannover Airport,52.46110153,9.685079575,EU,DE
EETN,large_airport,Lennart Meri Tallinn Airport,59.41329956,24.83279991,EU,EE
EFHK,large_airport,Helsinki Vantaa Airport,60.3172,24.963301,EU,FI
EGAA,large_airport,Belfast International Airport,54.65750122,-6.215829849,EU,GB
EGBB,large_airport,Birmingham International Airport,52.45389938,-1.748029947,EU,GB
